iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
96,128,3,1,3584,32,1,2,4128,64,5,0,51264,58976
97,128,3,1,3584,32,5,0,102432,32,3,2,9248,115264
98,128,3,1,3584,16,5,2,51216,64,5,0,25664,80464
99,128,3,1,3584,32,3,1,36896,128,5,1,102528,143008
100,128,3,1,3584,128,5,1,409728,16,3,0,18448,431760
101,128,3,1,3584,256,5,1,819456,256,3,0,590080,1413120
102,128,3,1,3584,32,1,1,4128,128,3,1,36992,44704
103,128,3,1,3584,64,1,0,8256,16,5,2,25616,37456
104,128,3,1,3584,256,5,1,819456,256,1,2,65792,888832
105,128,3,1,3584,32,5,2,102432,32,3,1,9248,115264
106,128,3,1,3584,32,3,0,36896,256,3,1,73984,114464
107,128,3,1,3584,64,1,0,8256,16,3,0,9232,21072
108,128,3,1,3584,64,5,2,204864,128,1,2,8320,216768
109,128,3,1,3584,32,5,0,102432,128,3,2,36992,143008
110,128,3,1,3584,128,3,2,147584,256,3,0,295168,446336
111,128,3,1,3584,64,5,0,204864,256,5,1,409856,618304
112,128,3,1,3584,32,3,2,36896,32,1,2,1056,41536
113,128,3,1,3584,256,3,1,295168,32,5,1,204832,503584
114,128,3,1,3584,256,5,2,819456,32,1,0,8224,831264
115,128,3,1,3584,256,5,0,819456,256,5,0,1638656,2461696
116,128,3,1,3584,256,3,0,295168,16,3,0,36880,335632
117,128,3,1,3584,256,3,2,295168,128,3,0,295040,593792
118,128,3,1,3584,32,5,2,102432,128,5,0,102528,208544
119,128,3,1,3584,32,5,0,102432,64,3,0,18496,124512
120,128,3,1,3584,256,1,2,33024,256,3,1,590080,626688
121,128,3,1,3584,32,3,0,36896,256,3,2,73984,114464
122,128,3,1,3584,16,1,1,2064,256,5,2,102656,108304
123,128,3,1,3584,128,5,0,409728,128,5,0,409728,823040
124,128,3,1,3584,64,3,0,73792,128,5,0,204928,282304
125,128,3,1,3584,64,3,1,73792,256,5,1,409856,487232
126,128,3,1,3584,64,5,2,204864,32,5,2,51232,259680
127,128,3,1,3584,64,5,2,204864,32,5,2,51232,259680
128,128,3,1,3584,128,5,0,409728,128,3,1,147584,560896
129,128,3,1,3584,256,5,0,819456,256,1,2,65792,888832
130,128,3,1,3584,16,3,1,18448,16,1,1,272,22304
131,128,3,1,3584,64,5,1,204864,32,5,0,51232,259680
132,128,3,1,3584,128,3,2,147584,32,3,1,36896,188064
133,128,3,1,3584,32,1,0,4128,32,1,2,1056,8768
134,128,3,1,3584,64,3,2,73792,128,3,0,73856,151232
135,128,3,1,3584,256,3,0,295168,64,5,2,409664,708416
136,128,3,1,3584,64,5,2,204864,16,1,0,1040,209488
137,128,3,1,3584,64,5,2,204864,256,5,0,409856,618304
138,128,3,1,3584,256,3,2,295168,256,3,2,590080,888832
139,128,3,1,3584,32,1,1,4128,16,5,2,12816,20528
140,128,3,1,3584,256,5,1,819456,64,5,0,409664,1232704
141,128,3,1,3584,16,3,2,18448,256,3,1,37120,59152
