iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
96,128,3,1,3584,32,3,2,36896,128,3,2,36992,77472
97,128,3,1,3584,32,5,0,102432,16,5,1,12816,118832
98,128,3,1,3584,128,5,1,409728,128,5,0,409728,823040
99,128,3,1,3584,32,5,1,102432,128,3,2,36992,143008
100,128,3,1,3584,256,5,1,819456,128,5,0,819328,1642368
101,128,3,1,3584,16,5,1,51216,256,5,2,102656,157456
102,128,3,1,3584,32,3,0,36896,64,1,1,2112,42592
103,128,3,1,3584,256,1,1,33024,64,5,1,409664,446272
104,128,3,1,3584,16,5,1,51216,256,3,0,37120,91920
105,128,3,1,3584,256,5,2,819456,256,1,0,65792,888832
106,128,3,1,3584,32,1,2,4128,256,5,0,205056,212768
107,128,3,1,3584,64,5,2,204864,256,3,0,147712,356160
108,128,3,1,3584,256,5,2,819456,16,1,1,4112,827152
109,128,3,1,3584,32,3,0,36896,16,3,0,4624,45104
110,128,3,1,3584,32,5,2,102432,64,5,2,51264,157280
111,128,3,1,3584,32,5,0,102432,128,3,2,36992,143008
112,128,3,1,3584,16,1,2,2064,256,1,1,4352,10000
113,128,3,1,3584,256,1,1,33024,256,1,2,65792,102400
114,128,3,1,3584,256,5,2,819456,128,1,2,32896,855936
115,128,3,1,3584,64,3,2,73792,16,5,1,25616,102992
116,128,3,1,3584,32,1,0,4128,32,3,0,9248,16960
117,128,3,1,3584,256,3,0,295168,128,5,0,819328,1118080
118,128,3,1,3584,256,5,2,819456,128,5,0,819328,1642368
119,128,3,1,3584,256,5,2,819456,16,5,0,102416,925456
120,128,3,1,3584,256,5,2,819456,128,3,0,295040,1118080
121,128,3,1,3584,16,3,2,18448,16,3,2,2320,24352
122,128,3,1,3584,32,5,1,102432,256,3,0,73984,180000
123,128,3,1,3584,256,1,1,33024,256,3,2,590080,626688
124,128,3,1,3584,128,3,0,147584,256,1,2,33024,184192
125,128,3,1,3584,32,3,2,36896,128,1,2,4224,44704
126,128,3,1,3584,128,1,2,16512,128,5,1,409728,429824
127,128,3,1,3584,128,1,2,16512,32,5,2,102432,122528
128,128,3,1,3584,128,3,0,147584,256,3,0,295168,446336
129,128,3,1,3584,128,3,2,147584,128,3,0,147584,298752
130,128,3,1,3584,32,5,2,102432,64,5,0,51264,157280
131,128,3,1,3584,128,1,0,16512,256,1,2,33024,53120
132,128,3,1,3584,256,3,0,295168,64,5,0,409664,708416
133,128,3,1,3584,128,3,0,147584,16,1,0,2064,153232
134,128,3,1,3584,16,5,2,51216,64,3,1,9280,64080
135,128,3,1,3584,256,5,1,819456,32,1,1,8224,831264
136,128,3,1,3584,32,1,0,4128,256,1,0,8448,16160
137,128,3,1,3584,64,1,0,8256,64,1,1,4160,16000
138,128,3,1,3584,16,3,2,18448,128,3,1,18560,40592
139,128,3,1,3584,128,3,2,147584,32,1,1,4128,155296
140,128,3,1,3584,64,5,2,204864,64,5,2,102464,310912
141,128,3,1,3584,128,1,2,16512,16,1,2,2064,22160
142,128,3,1,3584,64,5,2,204864,64,5,0,102464,310912
143,128,3,1,3584,16,5,2,51216,128,3,2,18560,73360
144,128,3,1,3584,64,5,2,204864,256,3,2,147712,356160
145,128,3,1,3584,32,3,0,36896,64,3,0,18496,58976
146,128,3,1,3584,256,3,2,295168,128,3,1,295040,593792
147,128,3,1,3584,256,3,1,295168,16,3,0,36880,335632
148,128,3,1,3584,256,1,2,33024,16,3,1,36880,73488
149,128,3,1,3584,256,5,2,819456,256,1,2,65792,888832
150,128,3,1,3584,64,3,0,73792,64,5,1,102464,179840
