iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
96,128,3,1,3584,32,5,2,102432,64,3,2,18496,124512
97,128,3,1,3584,256,1,1,33024,16,1,2,4112,40720
98,128,3,1,3584,64,1,2,8256,128,3,1,73856,85696
99,128,3,1,3584,128,3,2,147584,64,5,0,204864,356032
100,128,3,1,3584,64,3,2,73792,64,5,1,102464,179840
101,128,3,1,3584,32,3,1,36896,256,1,0,8448,48928
102,128,3,1,3584,64,1,2,8256,64,5,2,102464,114304
103,128,3,1,3584,128,3,2,147584,32,3,0,36896,188064
104,128,3,1,3584,32,3,2,36896,64,5,0,51264,91744
105,128,3,1,3584,16,5,1,51216,16,5,0,6416,61216
106,128,3,1,3584,256,5,2,819456,64,5,1,409664,1232704
107,128,3,1,3584,128,5,0,409728,256,1,1,33024,446336
108,128,3,1,3584,256,5,2,819456,256,3,1,590080,1413120
109,128,3,1,3584,256,3,0,295168,16,5,2,102416,401168
110,128,3,1,3584,256,5,2,819456,256,1,0,65792,888832
111,128,3,1,3584,64,3,2,73792,256,3,2,147712,225088
112,128,3,1,3584,256,1,0,33024,256,1,2,65792,102400
113,128,3,1,3584,256,5,2,819456,64,1,1,16448,839488
114,128,3,1,3584,256,1,1,33024,256,5,1,1638656,1675264
115,128,3,1,3584,64,1,2,8256,64,3,0,36928,48768
116,128,3,1,3584,64,1,0,8256,128,5,0,204928,216768
117,128,3,1,3584,256,5,1,819456,64,5,2,409664,1232704
118,128,3,1,3584,128,3,2,147584,16,3,1,18448,169616
119,128,3,1,3584,256,1,1,33024,32,1,2,8224,44832
120,128,3,1,3584,256,3,1,295168,64,1,1,16448,315200
121,128,3,1,3584,128,5,0,409728,256,5,1,819456,1232768
122,128,3,1,3584,32,3,0,36896,256,3,0,73984,114464
123,128,3,1,3584,256,1,2,33024,256,5,0,1638656,1675264
124,128,3,1,3584,256,3,2,295168,256,5,2,1638656,1937408
125,128,3,1,3584,16,3,2,18448,64,1,1,1088,23120
126,128,3,1,3584,128,3,2,147584,16,5,1,51216,202384
127,128,3,1,3584,256,1,1,33024,256,5,2,1638656,1675264
128,128,3,1,3584,256,3,0,295168,64,5,2,409664,708416
129,128,3,1,3584,256,1,2,33024,64,5,2,409664,446272
130,128,3,1,3584,128,3,2,147584,16,5,0,51216,202384
131,128,3,1,3584,256,3,2,295168,128,5,0,819328,1118080
132,128,3,1,3584,256,5,2,819456,128,5,0,819328,1642368
133,128,3,1,3584,256,5,1,819456,32,5,0,204832,1027872
134,128,3,1,3584,64,3,1,73792,64,5,2,102464,179840
135,128,3,1,3584,256,5,2,819456,256,5,1,1638656,2461696
136,128,3,1,3584,128,1,1,16512,256,1,2,33024,53120
137,128,3,1,3584,128,1,0,16512,64,1,1,8256,28352
138,128,3,1,3584,256,3,1,295168,16,5,1,102416,401168
139,128,3,1,3584,64,5,1,204864,256,3,1,147712,356160
140,128,3,1,3584,64,1,2,8256,64,5,1,102464,114304
141,128,3,1,3584,128,1,1,16512,64,1,0,8256,28352
142,128,3,1,3584,128,3,0,147584,128,5,1,409728,560896
143,128,3,1,3584,32,5,2,102432,64,5,1,51264,157280
144,128,3,1,3584,64,1,1,8256,256,5,2,409856,421696
145,128,3,1,3584,16,5,2,51216,256,3,2,37120,91920
146,128,3,1,3584,64,3,2,73792,256,1,0,16640,94016
147,128,3,1,3584,64,5,2,204864,128,5,1,204928,413376
148,128,3,1,3584,256,3,2,295168,16,1,1,4112,302864
149,128,3,1,3584,32,1,2,4128,128,1,2,4224,11936
150,128,3,1,3584,32,1,0,4128,64,3,2,18496,26208
151,128,3,1,3584,16,1,0,2064,256,1,2,4352,10000
152,128,3,1,3584,128,5,0,409728,256,1,0,33024,446336
153,128,3,1,3584,256,3,2,295168,256,5,2,1638656,1937408
154,128,3,1,3584,64,1,2,8256,64,3,2,36928,48768
155,128,3,1,3584,128,3,0,147584,128,5,1,409728,560896
156,128,3,1,3584,64,3,2,73792,256,1,2,16640,94016
157,128,3,1,3584,32,1,2,4128,128,1,1,4224,11936
158,128,3,1,3584,32,5,0,102432,32,1,1,1056,107072
159,128,3,1,3584,256,1,2,33024,32,5,0,204832,241440
160,128,3,1,3584,32,5,2,102432,64,5,1,51264,157280
161,128,3,1,3584,32,3,0,36896,256,5,1,205056,245536
162,128,3,1,3584,256,1,0,33024,16,1,0,4112,40720
163,128,3,1,3584,256,5,2,819456,256,3,1,590080,1413120
164,128,3,1,3584,64,1,0,8256,256,3,2,147712,159552
165,128,3,1,3584,256,1,0,33024,128,3,0,295040,331648
166,128,3,1,3584,64,5,0,204864,128,5,0,204928,413376
167,128,3,1,3584,256,3,2,295168,256,1,2,65792,364544
168,128,3,1,3584,256,1,2,33024,256,3,0,590080,626688
169,128,3,1,3584,64,1,2,8256,32,5,2,51232,63072
170,128,3,1,3584,128,5,2,409728,128,3,1,147584,560896
171,128,3,1,3584,128,1,0,16512,256,3,0,295168,315264
172,128,3,1,3584,128,1,2,16512,128,1,1,16512,36608
173,128,3,1,3584,256,1,1,33024,128,3,2,295040,331648
174,128,3,1,3584,64,1,2,8256,64,3,0,36928,48768
175,128,3,1,3584,256,1,1,33024,256,3,1,590080,626688
176,128,3,1,3584,64,3,1,73792,32,5,2,51232,128608
177,128,3,1,3584,256,5,1,819456,128,5,0,819328,1642368
178,128,3,1,3584,256,1,0,33024,256,3,0,590080,626688
179,128,3,1,3584,128,3,1,147584,64,5,0,204864,356032
