iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
96,128,3,1,3584,256,5,2,819456,32,5,1,204832,1027872
97,128,3,1,3584,64,1,2,8256,64,5,0,102464,114304
98,128,3,1,3584,256,3,0,295168,64,5,0,409664,708416
99,128,3,1,3584,64,5,1,204864,128,3,0,73856,282304
100,128,3,1,3584,32,5,0,102432,64,3,1,18496,124512
101,128,3,1,3584,64,3,2,73792,256,3,0,147712,225088
102,128,3,1,3584,128,3,0,147584,256,5,1,819456,970624
103,128,3,1,3584,32,1,1,4128,64,3,0,18496,26208
104,128,3,1,3584,64,5,2,204864,128,3,2,73856,282304
105,128,3,1,3584,64,3,2,73792,16,3,1,9232,86608
106,128,3,1,3584,128,5,1,409728,32,1,0,4128,417440
107,128,3,1,3584,128,3,2,147584,64,5,0,204864,356032
108,128,3,1,3584,64,5,1,204864,64,5,0,102464,310912
109,128,3,1,3584,64,3,1,73792,32,1,1,2080,79456
110,128,3,1,3584,64,3,1,73792,256,3,1,147712,225088
111,128,3,1,3584,64,1,2,8256,32,1,0,2080,13920
112,128,3,1,3584,256,1,2,33024,128,5,1,819328,855936
113,128,3,1,3584,128,3,2,147584,32,3,0,36896,188064
114,128,3,1,3584,16,3,0,18448,32,3,0,4640,26672
115,128,3,1,3584,16,1,1,2064,64,3,0,9280,14928
116,128,3,1,3584,32,3,2,36896,64,5,1,51264,91744
117,128,3,1,3584,64,3,2,73792,64,3,1,36928,114304
118,128,3,1,3584,64,5,1,204864,256,5,2,409856,618304
119,128,3,1,3584,64,5,0,204864,16,5,0,25616,234064
120,128,3,1,3584,32,3,1,36896,64,5,0,51264,91744
121,128,3,1,3584,128,3,2,147584,32,3,0,36896,188064
122,128,3,1,3584,64,5,2,204864,64,5,0,102464,310912
123,128,3,1,3584,64,3,0,73792,64,3,2,36928,114304
124,128,3,1,3584,64,3,1,73792,32,3,0,18464,95840
125,128,3,1,3584,128,1,0,16512,64,5,2,204864,224960
126,128,3,1,3584,64,5,2,204864,64,3,2,36928,245376
127,128,3,1,3584,128,3,0,147584,64,1,0,8256,159424
128,128,3,1,3584,128,5,1,409728,32,3,1,36896,450208
129,128,3,1,3584,32,3,0,36896,16,5,1,12816,53296
130,128,3,1,3584,64,3,0,73792,256,5,0,409856,487232
131,128,3,1,3584,64,3,1,73792,32,3,0,18464,95840
132,128,3,1,3584,64,5,1,204864,64,3,0,36928,245376
133,128,3,1,3584,32,1,0,4128,64,3,0,18496,26208
134,128,3,1,3584,64,3,1,73792,64,3,0,36928,114304
135,128,3,1,3584,64,5,2,204864,32,5,0,51232,259680
136,128,3,1,3584,64,3,1,73792,256,3,1,147712,225088
137,128,3,1,3584,32,3,2,36896,256,5,1,205056,245536
138,128,3,1,3584,64,3,1,73792,32,3,0,18464,95840
139,128,3,1,3584,128,3,1,147584,16,3,0,18448,169616
140,128,3,1,3584,128,5,2,409728,64,3,1,73792,487104
141,128,3,1,3584,64,3,2,73792,32,5,0,51232,128608
142,128,3,1,3584,64,3,0,73792,256,3,2,147712,225088
143,128,3,1,3584,64,3,0,73792,256,5,0,409856,487232
144,128,3,1,3584,64,3,1,73792,64,3,0,36928,114304
145,128,3,1,3584,64,5,0,204864,256,1,0,16640,225088
146,128,3,1,3584,64,3,0,73792,64,5,0,102464,179840
147,128,3,1,3584,64,1,2,8256,256,3,1,147712,159552
148,128,3,1,3584,256,3,0,295168,128,3,0,295040,593792
149,128,3,1,3584,64,5,0,204864,128,5,0,204928,413376
150,128,3,1,3584,32,3,2,36896,64,5,0,51264,91744
151,128,3,1,3584,32,3,1,36896,128,3,0,36992,77472
152,128,3,1,3584,64,3,1,73792,64,3,0,36928,114304
153,128,3,1,3584,32,3,0,36896,64,3,0,18496,58976
154,128,3,1,3584,64,3,0,73792,32,1,0,2080,79456
155,128,3,1,3584,64,3,2,73792,256,3,2,147712,225088
156,128,3,1,3584,256,3,2,295168,32,3,0,73760,372512
157,128,3,1,3584,16,5,0,51216,64,5,0,25664,80464
158,128,3,1,3584,64,5,1,204864,32,5,0,51232,259680
159,128,3,1,3584,64,3,1,73792,32,3,2,18464,95840
160,128,3,1,3584,32,3,2,36896,64,5,0,51264,91744
