iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
97,64,1,1,256,256,5,0,409856,64,3,0,147520,557632
98,32,3,2,896,256,3,2,73984,64,5,0,409664,484544
99,16,3,2,448,256,1,2,4352,256,1,1,65792,70592
100,32,3,2,896,128,3,0,36992,128,5,1,409728,447616
101,256,3,1,7168,128,3,1,295040,16,3,1,18448,320656
102,32,3,1,896,256,1,0,8448,32,3,0,73760,83104
103,128,3,1,3584,64,3,0,73792,32,3,2,18464,95840
104,128,3,1,3584,256,3,0,295168,128,5,2,819328,1118080
105,32,3,2,896,256,3,2,73984,16,5,2,102416,177296
106,32,5,2,2432,32,3,2,9248,256,3,1,73984,85664
107,256,3,0,7168,16,3,2,36880,64,3,1,9280,53328
108,32,3,2,896,32,3,2,9248,32,5,2,25632,35776
109,16,3,2,448,32,3,1,4640,128,3,2,36992,42080
110,64,3,1,1792,32,5,1,51232,32,1,2,1056,54080
111,64,3,2,1792,16,3,1,9232,32,1,2,544,11568
112,32,1,2,128,128,5,1,102528,16,5,2,51216,153872
113,32,3,0,896,16,1,1,528,256,1,1,4352,5776
114,64,5,2,4864,16,5,2,25616,128,3,0,18560,49040
115,32,3,2,896,128,5,1,102528,32,3,1,36896,140320
116,256,5,2,19456,128,5,0,819328,128,3,1,147584,986368
117,256,5,1,19456,16,3,2,36880,16,3,1,2320,58656
118,256,3,2,7168,128,3,1,295040,64,3,1,73792,376000
119,128,3,2,3584,128,3,2,147584,32,3,2,36896,188064
120,64,3,2,1792,64,3,0,36928,16,5,1,25616,64336
121,16,3,1,448,64,5,2,25664,256,3,2,147712,173824
122,16,3,0,448,32,3,2,4640,32,3,2,9248,14336
123,32,3,1,896,32,1,2,1056,64,1,0,2112,4064
124,16,3,2,448,32,5,0,12832,32,5,2,25632,38912
125,128,1,2,512,32,3,2,36896,256,3,1,73984,111392
126,256,5,2,19456,16,5,1,102416,16,3,2,2320,124192
127,256,3,2,7168,128,3,2,295040,32,1,1,4128,306336
128,64,3,1,1792,128,3,2,73856,64,3,1,73792,149440
129,64,3,1,1792,16,5,2,25616,32,1,0,544,27952
130,128,3,2,3584,16,3,0,18448,64,5,2,25664,47696
131,256,3,1,7168,128,1,1,32896,64,1,1,8256,48320
132,32,5,1,2432,16,3,2,4624,32,3,1,4640,11696
133,64,5,2,4864,64,3,2,36928,256,3,2,147712,189504
134,32,3,2,896,128,3,2,36992,256,1,2,33024,70912
