train_loss,val_loss,test_acc,train_time,policy_gradient,max_accuracy,baseline
1.9072520999908447,2.046643979549408,0.4614,39.77331495285034,-2.2544000148773193,0.4614,0.7420747070696556
1.9984641194343566,2.061677625179291,0.4534,42.4022011756897,-2.1861207485198975,0.4614,0.71320723636269
1.9501797533035279,2.0622026991844176,0.4583,38.843358278274536,-2.0184240341186523,0.4614,0.6877165127264211
2.095737844467163,2.1563372349739076,0.4326,37.54067587852478,-2.022984504699707,0.4614,0.662204861453779
3.533027048110962,3.493987979888916,0.1615,37.802534341812134,-4.056201934814453,0.4614,0.6121343753084011
2.117728167057037,2.1627984619140626,0.428,46.93086266517639,-1.4103472232818604,0.4614,0.593720937777561
2.0487795977592467,2.148215591907501,0.437,38.2417995929718,-1.1536047458648682,0.4614,0.5780488439998048
2.0755447425842286,2.1200721073150635,0.445,47.610069274902344,-0.9857959151268005,0.4614,0.5647439595998244
2.388914545059204,2.3668336200714113,0.3859,37.92307710647583,-1.390854835510254,0.4614,0.546859563639842
2.1801669001579285,2.1696881318092345,0.4286,39.95192241668701,-0.9138666987419128,0.4614,0.5350336072758578
2.234144739151001,2.2723366475105284,0.4063,41.579010009765625,-1.0123142004013062,0.4614,0.522160246548272
2.3785102615356446,2.3701065754890442,0.3864,37.41425633430481,-1.0047544240951538,0.4614,0.5085842218934448
2.643249370574951,2.5780810165405272,0.3393,40.67181181907654,-1.3297104835510254,0.4614,0.49165579970410034
1.940957401752472,2.047261645793915,0.4572,42.82912278175354,-0.27668774127960205,0.4614,0.4882102197336903
2.2623060550689695,2.261327712535858,0.4054,41.243425369262695,-0.6257809400558472,0.4614,0.4799291977603213
2.237771667957306,2.230922694206238,0.4105,46.63764548301697,-0.5231785774230957,0.4614,0.47298627798428916
2.2615021953582763,2.3156066393852233,0.3931,43.303664684295654,-0.5899640321731567,0.4614,0.46499765018586026
2.408528467178345,2.3597418594360353,0.3835,42.19087362289429,-0.6277545690536499,0.4614,0.45684788516727426
2.1081802883148195,2.1555751180648803,0.4278,45.368319034576416,-0.2342311590909958,0.4614,0.45394309665054683
2.491313335418701,2.4616193437576293,0.3624,41.717007637023926,-0.6744030714035034,0.4614,0.4447887869854921
2.547752998352051,2.4801545429229734,0.3529,41.87283158302307,-0.699054479598999,0.4614,0.4355999082869429
2.1949469876289367,2.211063268184662,0.4205,43.990211725234985,-0.10841047763824463,0.4614,0.4340899174582486
2.083187550544739,2.108734302520752,0.4432,43.687803506851196,0.06656799465417862,0.4614,0.4350009257124237
2.305548454284668,2.3200936698913575,0.4029,41.86789083480835,-0.2507896423339844,0.4614,0.43179083314118133
2.2633944783210755,2.2461480498313904,0.4026,42.2578022480011,-0.22639989852905273,0.4614,0.4288717498270632
2.0172705540657043,2.0325390243530275,0.4549,49.814385414123535,0.20676153898239136,0.4614,0.43147457484435686
2.187764621734619,2.193972887992859,0.4233,41.265490770339966,-0.06408992409706116,0.4614,0.4306571173599212
2.0024937586784364,2.053206226825714,0.4604,56.04098868370056,0.21139970421791077,0.4614,0.43363140562392904
2.1394489092826845,2.1480038070678713,0.4394,41.6833074092865,0.041798729449510574,0.4614,0.43420826506153615
2.235682210922241,2.2591443824768067,0.4124,38.81797170639038,-0.16236469149589539,0.4614,0.43202743855538256
2.199646637916565,2.1999120211601255,0.4272,38.122395277023315,-0.03449958935379982,0.4614,0.4315446946998443
1.9853498792648316,2.0485937428474426,0.4601,56.58974075317383,0.22664518654346466,0.4614,0.4344002252298599
2.649169753074646,2.6293368625640867,0.3331,37.886977672576904,-0.7263081073760986,0.4614,0.42427020270687393
2.375150029182434,2.3392405843734743,0.3913,38.43927884101868,-0.24962280690670013,0.4614,0.42097318243618653
2.2349593420028686,2.2128629732131957,0.4112,41.47216773033142,-0.0754963830113411,0.4614,0.4199958641925679
2.3746229400634764,2.3593649435043336,0.3856,38.20359444618225,-0.25671955943107605,0.4614,0.4165562777733111
