train_loss,val_loss,test_acc,train_time,policy_gradient,max_accuracy,baseline
2.0484969301223757,2.09671808719635,0.4441,42.494776487350464,3.7824201583862305,0.4441,0.04440999999999999
2.5011824655532835,2.4883397245407104,0.3601,42.81903004646301,2.5258545875549316,0.4441,0.07597899999999998
2.384142265319824,2.388572735786438,0.3773,42.47979760169983,2.2255775928497314,0.4441,0.10611109999999999
2.3024504203796385,2.3137779092788695,0.3968,41.97572326660156,2.1161630153656006,0.4441,0.13517998999999997
3.1742984104156493,3.1075124979019164,0.238,43.628870487213135,0.8081128597259521,0.4441,0.14546199099999998
2.251143677711487,2.2355614280700684,0.4156,43.26650619506836,1.9391875267028809,0.4441,0.17247579189999998
2.5273008403778077,2.510747332572937,0.3509,41.36633086204529,1.2530657052993774,0.4441,0.19031821270999996
2.8768389110565185,2.7322006368637086,0.3027,46.38429307937622,0.8344587087631226,0.4441,0.20155639143899995
2.1617417063713074,2.182677938938141,0.4223,44.085201263427734,1.7435593605041504,0.4441,0.22363075229509996
2.1806117124557494,2.203672909736633,0.4216,50.380871534347534,1.4116100072860718,0.4441,0.24342767706558993
1.9505304679870605,2.002287721633911,0.4665,47.941829204559326,1.6870887279510498,0.4665,0.26573490935903094
2.512496156692505,2.47469877243042,0.3634,41.6032612323761,0.5766956210136414,0.4665,0.27550141842312786
2.190933841228485,2.1947625398635866,0.4236,42.86125302314758,1.0912894010543823,0.4665,0.29031127658081507
2.311678499221802,2.3202717518806457,0.3899,44.274760723114014,0.7475236058235168,0.4665,0.3002701489227335
2.4424527273178103,2.4255241775512695,0.3741,43.34136962890625,0.49069225788116455,0.4665,0.3076531340304602
2.5105280075073244,2.479821219444275,0.36,41.291473150253296,0.35294097661972046,0.4665,0.31288782062741416
2.2859128823280335,2.237105145454407,0.412,40.66576051712036,0.6811428070068359,0.4665,0.32279903856467274
2.2163030200004576,2.189091835021973,0.4182,41.73669171333313,0.8044707775115967,0.4665,0.3323391347082054
4.60549245262146,4.605176239013672,0.01,42.2967586517334,-2.226512908935547,0.4665,0.30010522123738487
2.3314861965179445,2.2885636830329896,0.3979,39.86328363418579,0.8004298806190491,0.4665,0.30988469911364636
2.711961205482483,2.6876291131973264,0.31,41.687110900878906,0.0009084801422432065,0.4665,0.3098962292022817
2.6936626834869384,2.5934856748580932,0.3276,44.19223427772522,0.15546993911266327,0.4665,0.31166660628205356
2.264576189994812,2.224304699897766,0.4131,46.53463912010193,0.8824437260627747,0.4665,0.32180994565384824
2.302788513183594,2.2919397807121276,0.3979,40.20176029205322,0.5367423892021179,0.4665,0.3294189510884634
1.9715387902259827,2.0707981276512144,0.4536,67.99829077720642,1.0963153839111328,0.4665,0.3418370559796171
1.8067420778274537,1.9662474870681763,0.4817,43.96415328979492,1.0338984727859497,0.4817,0.3558233503816554
2.448238376617432,2.424676628112793,0.3761,39.94938826560974,0.12884998321533203,0.4817,0.35785101534348984
2.187449721813202,2.221220989227295,0.4216,49.327491998672485,0.43258416652679443,0.4817,0.3642259138091408
2.449171980857849,2.440982575416565,0.3671,41.87711143493652,0.02312231995165348,0.4817,0.36451332242822676
2.2304545583724975,2.252732427120209,0.4133,40.41115093231201,0.41321060061454773,0.4817,0.3693919901854041
2.358983379364014,2.352167363166809,0.3855,48.9843590259552,0.10818424075841904,0.4817,0.37100279116686363
2.4400496921539307,2.4186765432357786,0.3783,40.41694760322571,0.05786839500069618,0.4817,0.37173251205017727
2.302691520214081,2.3102723455429075,0.3965,41.37828850746155,0.18824993073940277,0.4817,0.3742092608451595
2.425070418357849,2.41054790019989,0.3796,40.309043645858765,0.03538376837968826,0.4817,0.37474833476064356
2.082420136928558,2.1636353135108948,0.4304,42.58081340789795,0.47959989309310913,0.4817,0.3803135012845792
2.3824387292861937,2.3524017572402953,0.3864,40.520503520965576,0.04189125820994377,0.4817,0.38092215115612127
2.062045485496521,2.163459143638611,0.4312,40.98453974723816,0.3512747287750244,0.4817,0.38594993604050915
1.9310444073677062,2.014820785522461,0.4641,51.25817394256592,0.5440430045127869,0.4817,0.39376494243645827
2.51299400806427,2.5090878772735596,0.354,41.33335304260254,-0.3062576651573181,0.4817,0.38978844819281244
2.4263062982559203,2.409425206184387,0.3725,40.66264820098877,-0.11680193990468979,0.4817,0.38805960337353124
2.575303514480591,2.5275226545333864,0.3498,39.99313950538635,-0.2494693249464035,0.4817,0.38423364303617813
2.1654335131645204,2.1900994205474853,0.4221,40.62600350379944,0.28871336579322815,0.4817,0.3880202787325603
2.6422278661727905,2.592748513221741,0.3391,39.82075262069702,-0.3164540231227875,0.4817,0.38312825085930424
2.1577271423339845,2.1560219621658323,0.4301,42.65584683418274,0.3388291895389557,0.4817,0.3878254257733738
2.400644992828369,2.406496911048889,0.3786,40.09731125831604,-0.06234176456928253,0.4817,0.38690288319603644
2.1614043841362,2.1793975687026976,0.4271,44.15289306640625,0.3208986222743988,0.4817,0.39092259487643277
2.3417902364730834,2.3239915227890013,0.3971,41.407190799713135,0.046953506767749786,0.4817,0.3915403353887895
2.376923917293549,2.3804792737960816,0.3857,42.064650774002075,-0.03644177317619324,0.4817,0.3909563018499106
2.331204728603363,2.304044246673584,0.4002,45.26330780982971,0.05916648730635643,0.4817,0.3918806716649195
2.121618588447571,2.1426100516319275,0.4345,43.99117302894592,0.29666921496391296,0.4817,0.3961426044984276
1.9781732721328735,2.058638274669647,0.4559,65.77670478820801,0.47593286633491516,0.4817,0.4021183440485848
2.510237204551697,2.468106575012207,0.3654,36.107168197631836,-0.23797829449176788,0.4817,0.3984465096437263
2.159749554157257,2.2401033425331116,0.4151,39.09092998504639,0.10903479158878326,0.4817,0.40011185867935367
1.9322223048210143,2.055786964893341,0.4584,39.95226740837097,0.4143854081630707,0.4817,0.4059406728114183
2.4514917097091673,2.3987645864486695,0.3693,44.4132022857666,-0.2497328370809555,0.4817,0.40227660553027644
