train_loss,train_acc,train_time,policy_gradient
1.6362221994400024,0.4339,165.17689180374146,-2.805656909942627
1.7625598888397216,0.3959,177.75854587554932,-3.3154025077819824
1.825781723022461,0.3709,166.85324692726135,-2.65659499168396
1.656450216770172,0.4338,163.72916102409363,-1.8854066133499146
1.5582733116149903,0.4583,221.28870391845703,-3.6176726818084717
1.8575069026947022,0.3465,138.71283626556396,-1.070930004119873
1.5285752058029174,0.4664,494.36296010017395,-12.819988250732422
1.6969228720664977,0.4132,169.22454714775085,-0.28248655796051025
1.6690028247833253,0.4266,133.30838203430176,1.1273016929626465
1.8645310626029967,0.3525,125.10900783538818,0.7838415503501892
